,movie_id,country_name
538,tt2290494,"vietnam, usa"
539,tt0017013,usa
540,tt3503410,"greece, france"
541,tt1117515,usa
542,tt2172957,north korea
544,tt0126359,denmark
545,tt5012806,usa
546,tt0188757,usa
547,tt0034591,japan
548,tt0097893,france
549,tt0411769,canada
551,tt1616540,netherlands
552,tt5485034,usa
553,tt0016073,usa
554,tt1085513,usa
555,tt0224171,usa
556,tt2081152,uk
557,tt0187900,hong kong
558,tt2363113,usa
559,tt6516552,netherlands
560,tt1674225,uk
561,tt0843843,usa
562,tt3558184,belgium
563,tt0120005,uk
564,tt4747826,uk
565,tt4258176,usa
566,tt6357338,usa
567,tt0459099,usa
568,tt0851318,usa
569,tt4709460,usa
570,tt4768208,usa
572,tt0124670,usa
573,tt0059405,usa
574,tt3358868,usa
575,tt0126409,west germany
576,tt2311542,usa
577,tt1997389,usa
578,tt3286000,uk
579,tt2323513,usa
580,tt5963668,china
581,tt0018887,usa
582,tt1645089,usa
583,tt0090599,finland
585,tt2571080,usa
586,tt4429592,usa
587,tt4173694,uk
588,tt0828464,usa
589,tt1773060,australia
591,tt0314850,france
592,tt1150011,usa
593,tt5086856,usa
594,tt0004800,usa
595,tt0246919,usa
596,tt2186456,usa
597,tt3563662,russia
598,tt3118968,usa
599,tt3725044,uk
600,tt1270267,uk
601,tt0313685,germany
602,tt4537090,usa
603,tt4615138,canada
604,tt2357067,usa
605,tt3349394,usa
606,tt0126819,usa
607,tt2144820,usa
608,tt5970032,uk
609,tt0134365,usa
610,tt5189976,usa
611,tt1815943,canada
612,tt0366900,"italy, uk, germany"
613,tt3898142,usa
614,tt3564908,usa
615,tt4473906,usa
616,tt2625054,spain
617,tt0401372,usa
618,tt3868852,uk
620,tt1530898,usa
621,tt3730710,usa
622,tt3117772,usa
623,tt0023000,usa
624,tt6464040,usa
625,tt0366994,egypt
626,tt0083313,hong kong
627,tt3593266,usa
628,tt4323514,usa
629,tt1605065,netherlands
630,tt0117166,usa
631,tt1730249,"usa, mexico"
632,tt0352375,usa
633,tt1500732,italy
634,tt1594445,"uk, iceland, france"
635,tt2802120,austria
636,tt2190199,usa
637,tt4042418,france
638,tt0273539,uk
639,tt1086339,usa
640,tt3819684,usa
641,tt2174141,usa
643,tt2238881,usa
644,tt5646616,usa
645,tt2878170,uk
646,tt0196008,usa
647,tt5863634,"canada, usa"
648,tt0238848,usa
649,tt2337747,usa
650,tt1137437,usa
651,tt0061451,"west germany, spain"
652,tt0837795,usa
653,tt3156558,usa
654,tt0236424,usa
655,tt2589074,usa
656,tt1843998,usa
657,tt6572998,usa
658,tt0036114,usa
659,tt1152698,usa
660,tt1998234,uk
661,tt2147317,usa
662,tt2931072,usa
663,tt2013233,japan
664,tt1841564,sweden
665,tt1959509,usa
666,tt2248859,usa
667,tt1017989,usa
668,tt3683310,canada
669,tt0314469,uk
670,tt4451034,uk
671,tt1448505,usa
672,tt5152582,usa
673,tt1712223,usa
674,tt1488016,usa
675,tt0216084,uk
676,tt0403655,soviet union
677,tt5137918,usa
678,tt4030614,canada
679,tt1813392,australia
680,tt1249174,usa
681,tt4333796,poland
682,tt0031908,usa
683,tt3831132,uk
684,tt5023670,usa
685,tt0449660,usa
687,tt0117426,usa
688,tt1494816,usa
689,tt1259001,france
690,tt1659320,usa
691,tt3802744,usa
692,tt0962530,usa
693,tt0223573,canada
694,tt0306496,usa
695,tt1482986,usa
696,tt0226021,canada
697,tt0481412,usa
698,tt5146246,russia
699,tt0066553,usa
700,tt1864373,usa
701,tt1351189,uk
702,tt0460595,uk
703,tt2215195,finland
704,tt0085246,poland
705,tt0147196,poland
706,tt1223283,usa
707,tt0247900,czech republic
708,tt3620844,france
709,tt0137527,usa
710,tt4972594,usa
712,tt0412792,uk
713,tt0230143,india
714,tt2901984,usa
715,tt3269580,uk
716,tt0113265,usa
717,tt0388324,austria
718,tt4431452,usa
719,tt2392562,serbia
720,tt3474696,france
721,tt0215054,usa
722,tt0081691,west germany
723,tt0472701,usa
724,tt1311080,usa
725,tt1293554,germany
726,tt2844250,usa
727,tt0014942,usa
728,tt0283823,usa
729,tt0029649,usa
730,tt0296893,usa
731,tt6197586,usa
733,tt1206544,usa
734,tt0359131,usa
735,tt2448880,uk
737,tt0153564,usa
738,tt1056477,usa
739,tt2274096,canada
740,tt4151466,usa
741,tt1386505,usa
742,tt1832987,usa
743,tt0214683,usa
744,tt4010002,usa
745,tt3539478,usa
746,tt5665520,usa
747,tt1381514,canada
748,tt0091149,usa
749,tt4106126,usa
750,tt1188700,usa
751,tt0496896,usa
752,tt2402522,russia
753,tt2076942,"turkey, usa"
754,tt2960280,france
755,tt7208150,usa
757,tt0222888,canada
758,tt1152731,usa
759,tt2766274,spain
760,tt0491545,usa
761,tt3045924,usa
762,tt0182263,greece
763,tt0950637,japan
764,tt0412557,usa
765,tt0019684,usa
766,tt2463518,uk
767,tt3579092,usa
768,tt1531682,usa
769,tt2945138,usa
770,tt1523269,usa
771,tt4464308,italy
772,tt2272372,usa
773,tt0832886,switzerland
774,tt6350288,usa
775,tt4257436,france
776,tt4841688,usa
777,tt0222768,france
778,tt0830551,nigeria
779,tt0050599,usa
780,tt5491388,south africa
781,tt0015498,usa
782,tt1518315,usa
783,tt2987066,canada
