,movie_id,language_name
536,tt1360803,Russian
537,tt0160374,English
538,tt2290494,Vietnamese
538,tt2290494,English
540,tt3503410,Greek
541,tt1117515,English
542,tt2172957,Korean
544,tt0126359,Danish
546,tt0188757,English
547,tt0034591,Japanese
548,tt0097893,French
549,tt0411769,English
551,tt1616540,Dutch
552,tt5485034,English
553,tt0016073,English
554,tt1085513,English
555,tt0224171,English
556,tt2081152,English
557,tt0187900,Cantonese
558,tt2363113,Spanish
559,tt6516552,English
559,tt6516552,Spanish
559,tt6516552,French
559,tt6516552,Dutch
560,tt1674225,English
561,tt0843843,English
562,tt3558184,Chinese
563,tt0120005,English
564,tt4747826,English
565,tt4258176,English
567,tt0459099,English
568,tt0851318,English
569,tt4709460,English
570,tt4768208,English
572,tt0124670,English
573,tt0059405,English
574,tt3358868,English
575,tt0126409,German
576,tt2311542,English
577,tt1997389,English
578,tt3286000,English
579,tt2323513,English
582,tt1645089,English
583,tt0090599,Finnish
585,tt2571080,Hindi
586,tt4429592,English
587,tt4173694,English
588,tt0828464,English
589,tt1773060,English
591,tt0314850,French
592,tt1150011,English
593,tt5086856,English
594,tt0004800,English
595,tt0246919,English
596,tt2186456,English
597,tt3563662,Russian
598,tt3118968,English
599,tt3725044,English
600,tt1270267,English
602,tt4537090,English
603,tt4615138,English
604,tt2357067,English
605,tt3349394,English
606,tt0126819,English
607,tt2144820,English
608,tt5970032,English
609,tt0134365,English
610,tt5189976,English
611,tt1815943,English
612,tt0366900,Italian
612,tt0366900,English
613,tt3898142,English
615,tt4473906,English
616,tt2625054,Catalan
616,tt2625054,French
616,tt2625054,Spanish
616,tt2625054,English
617,tt0401372,English
618,tt3868852,English
620,tt1530898,English
621,tt3730710,English
623,tt0023000,English
624,tt6464040,English
625,tt0366994,Arabic
626,tt0083313,Mandarin
626,tt0083313,Cantonese
627,tt3593266,English
628,tt4323514,English
629,tt1605065,English
630,tt0117166,English
631,tt1730249,English
632,tt0352375,English
633,tt1500732,Italian
634,tt1594445,English
634,tt1594445,Icelandic
634,tt1594445,French
