,movie_id,awards_unclean,award_name,award_qty,extra_award_name,extra_award_qty,nomination_name,nomination_qty,extra_nomination_name,extra_nomination_qty
134614,tt1720254,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
134620,tt1764726,1 nomination.,,,,,,,unknown,1.0
134623,tt2623512,1 nomination.,,,,,,,unknown,1.0
134629,tt3854234,15 wins & 15 nominations.,,,unknown,15.0,,,unknown,15.0
134637,tt0395558,5 wins.,,,unknown,5.0,,,,
134642,tt1054480,5 wins.,,,unknown,5.0,,,,
134671,tt1984176,1 nomination.,,,,,,,unknown,1.0
134679,tt0076617,2 nominations.,,,,,,,unknown,2.0
134688,tt0040102,2 nominations.,,,,,,,unknown,2.0
134705,tt1618442,1 nomination.,,,,,,,unknown,1.0
134714,tt0282529,1 win.,,,unknown,1.0,,,,
134739,tt0902964,1 nomination.,,,,,,,unknown,1.0
134747,tt2934096,1 win.,,,unknown,1.0,,,,
134784,tt0425413,3 nominations.,,,,,,,unknown,3.0
134788,tt1848926,1 win & 5 nominations.,,,unknown,1.0,,,unknown,5.0
134789,tt0120633,nominated for 2 oscars. another 5 wins & 8 nominations.,,,unknown,5.0,oscar,2.0,unknown,8.0
134791,tt0450368,1 nomination.,,,,,,,unknown,1.0
134803,tt1328634,1 win & 5 nominations.,,,unknown,1.0,,,unknown,5.0
134809,tt0081457,2 wins.,,,unknown,2.0,,,,
134812,tt0114354,nominated for 1 golden globe. another 6 wins & 2 nominations.,,,unknown,6.0,golden globe,1.0,unknown,2.0
134814,tt1276117,4 wins.,,,unknown,4.0,,,,
134822,tt1716772,2 wins & 4 nominations.,,,unknown,2.0,,,unknown,4.0
134845,tt3343212,2 nominations.,,,,,,,unknown,2.0
134849,tt0388505,12 wins & 7 nominations.,,,unknown,12.0,,,unknown,7.0
134857,tt0082329,nominated for 1 oscar. another 2 wins & 15 nominations.,,,unknown,2.0,oscar,1.0,unknown,15.0
134862,tt0324958,nominated for 1 primetime emmy. another 1 nomination.,,,,,primetime emmy,1.0,unknown,1.0
134864,tt1119194,2 nominations.,,,,,,,unknown,2.0
134868,tt3596332,5 wins & 1 nomination.,,,unknown,5.0,,,unknown,1.0
134873,tt2058020,3 wins & 3 nominations.,,,unknown,3.0,,,unknown,3.0
134878,tt0814034,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
134880,tt2963344,1 win.,,,unknown,1.0,,,,
134895,tt0342285,1 win.,,,unknown,1.0,,,,
134903,tt0030195,2 wins & 1 nomination.,,,unknown,2.0,,,unknown,1.0
134918,tt2111270,1 win.,,,unknown,1.0,,,,
134944,tt1333064,2 nominations.,,,,,,,unknown,2.0
134967,tt0095015,2 wins & 5 nominations.,,,unknown,2.0,,,unknown,5.0
134976,tt0310851,2 nominations.,,,,,,,unknown,2.0
134985,tt0081992,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
134992,tt2765548,1 nomination.,,,,,,,unknown,1.0
134998,tt3242986,5 wins & 7 nominations.,,,unknown,5.0,,,unknown,7.0
135022,tt0331698,1 win & 4 nominations.,,,unknown,1.0,,,unknown,4.0
